Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
CO#GO#Abadia de Goiás #,1665,0.708,1967,0.687,1556,0.622,1647,0.83,2180,0.569,2024,0.623,2305,0.386,1727,0.765
SE#MG#Abadia dos Dourados #,2199,0.689,1797,0.693,2707,0.563,1238,0.839,2052,0.575,2192,0.616,2296,0.387,684,0.799
CO#GO#Abadiânia #,2199,0.689,2405,0.671,2352,0.579,1128,0.841,3189,0.503,2573,0.598,3556,0.292,2854,0.73
SE#MG#Abaeté #,1969,0.698,1039,0.72,2866,0.556,792,0.848,1821,0.587,1079,0.664,2317,0.385,858,0.792
N#PA#Abaetetuba #,3519,0.628,3998,0.579,3249,0.537,3214,0.798,3214,0.501,3728,0.523,3200,0.32,2258,0.75
NE#CE#Abaiara #,3519,0.628,4903,0.54,1727,0.612,4794,0.748,3890,0.452,4728,0.464,3670,0.283,3548,0.703
NE#BA#Abaíra #,4081,0.603,4054,0.577,3792,0.51,4860,0.746,3300,0.495,3783,0.52,3109,0.326,3183,0.715
NE#BA#Abaré #,4742,0.575,5037,0.533,4693,0.46,3897,0.776,4407,0.422,4291,0.488,4306,0.24,4713,0.642
S#PR#Abatiá #,2251,0.687,2266,0.676,2035,0.596,2940,0.804,2451,0.553,2996,0.575,2175,0.396,2436,0.744
S#SC#Abdon Batista #,2078,0.694,2647,0.66,1492,0.625,2562,0.812,2031,0.576,2855,0.583,1617,0.437,2258,0.75
N#PA#Abel Figueiredo #,3653,0.622,3247,0.625,4306,0.481,3129,0.8,3119,0.508,2695,0.592,3276,0.313,3378,0.709
S#SC#Abelardo Luz #,2028,0.696,2035,0.684,2377,0.578,643,0.852,1973,0.579,1155,0.661,2513,0.371,896,0.791
SE#MG#Abre Campo #,3030,0.654,2908,0.646,3480,0.525,1987,0.823,2668,0.54,2798,0.586,2670,0.36,2387,0.746
NE#PE#Abreu E Lima #,2462,0.679,3247,0.625,1350,0.632,3475,0.791,2318,0.561,3189,0.56,1562,0.442,3233,0.714
